"WordPress ID","File URL","Parent WordPress ID","Referenced content","Asset status","Verification status"
"5","/wp-content/uploads/2015/05/8503163876_1e656f910d_k.jpg","0","unassigned","excluded","metadata-reviewed"
"9","/wp-content/uploads/2015/05/rss.png","0","unassigned","excluded","metadata-reviewed"
"10","/wp-content/uploads/2015/05/twitter.png","0","unassigned","excluded","metadata-reviewed"
"33","/wp-content/uploads/2015/07/BirthdayCalendarOption.png","30","pending-review","included","metadata-reviewed"
"34","/wp-content/uploads/2015/07/BirthdayCalendar.png","30","pending-review","included","metadata-reviewed"
"61","/wp-content/uploads/2015/12/rss.png","0","unassigned","excluded","metadata-reviewed"
"81","/wp-content/uploads/2015/05/facebook.png","0","unassigned","excluded","metadata-reviewed"
"91","/wp-content/uploads/2015/06/2015060201.png","20","pending-review","included","metadata-reviewed"
"101","/wp-content/uploads/2015/07/Exchange2016BuildNumber.png","30","pending-review","included","metadata-reviewed"
"351","/wp-content/uploads/2016/02/image0227.png","331","pending-review","included","metadata-reviewed"
"391","/wp-content/uploads/2016/04/20160403-1.png","591","pending-review","included","metadata-reviewed"
"401","/wp-content/uploads/2016/04/20160403-2.png","591","pending-review","included","metadata-reviewed"
"411","/wp-content/uploads/2016/04/20160403-3.png","591","pending-review","included","metadata-reviewed"
"421","/wp-content/uploads/2016/04/20160403-4.png","591","pending-review","included","metadata-reviewed"
"431","/wp-content/uploads/2016/04/20160403-5.png","591","pending-review","included","metadata-reviewed"
"441","/wp-content/uploads/2016/04/20160403-6.png","591","pending-review","included","metadata-reviewed"
"451","/wp-content/uploads/2016/04/20160403-7.png","591","pending-review","included","metadata-reviewed"
"461","/wp-content/uploads/2016/04/20160403-8.png","591","pending-review","included","metadata-reviewed"
"471","/wp-content/uploads/2016/04/20160403-9.png","591","pending-review","included","metadata-reviewed"
"481","/wp-content/uploads/2016/04/20160403-10.png","591","pending-review","included","metadata-reviewed"
"491","/wp-content/uploads/2016/04/20160403-11.png","591","pending-review","included","metadata-reviewed"
"501","/wp-content/uploads/2016/04/20160403-12.png","591","pending-review","included","metadata-reviewed"
"511","/wp-content/uploads/2016/04/20160403-13.png","591","pending-review","included","metadata-reviewed"
"521","/wp-content/uploads/2016/04/20160403-14.png","591","pending-review","included","metadata-reviewed"
"531","/wp-content/uploads/2016/04/20160403-15.png","591","pending-review","included","metadata-reviewed"
"541","/wp-content/uploads/2016/04/20160403-16.png","591","pending-review","included","metadata-reviewed"
"551","/wp-content/uploads/2016/04/20160403-17.png","591","pending-review","included","metadata-reviewed"
"561","/wp-content/uploads/2016/04/20160403-18.png","591","pending-review","included","metadata-reviewed"
"571","/wp-content/uploads/2016/04/20160403-19.png","591","pending-review","included","metadata-reviewed"
"581","/wp-content/uploads/2016/04/20160403-20.png","591","pending-review","included","metadata-reviewed"
"781","/wp-content/uploads/2016/07/2016071601.png","771","pending-review","included","metadata-reviewed"
"831","/wp-content/uploads/2016/08/2016080502.png","0","unassigned","included","metadata-reviewed"
"841","/wp-content/uploads/2016/08/2016080501.png","0","unassigned","included","metadata-reviewed"
"951","/wp-content/uploads/2016/11/2016112701.png","0","unassigned","included","metadata-reviewed"
"971","/wp-content/uploads/2016/11/2016112702.png","961","pending-review","included","metadata-reviewed"
"981","/wp-content/uploads/2016/11/2016112703.png","961","pending-review","included","metadata-reviewed"
"1021","/wp-content/uploads/2017/01/2017012001.png","0","unassigned","included","metadata-reviewed"
"1031","/wp-content/uploads/2017/01/2017012002.png","0","unassigned","included","metadata-reviewed"
"1101","/wp-content/uploads/2017/04/2017040101.png","1091","pending-review","included","metadata-reviewed"
