"WordPress ID","Content type","Old URL","Language","Slug","New categories","New tags","Migration status","Verification status"
"18","page","/about/","ja","about","","","migrated","verified"
"6","post","/2015/05/30/6/","ja","ews-java-api","Exchange Web Services","Exchange Web Services | Exchange Server","migrated","verified"
"12","post","/2015/05/31/12/","ja","programmatically-query-exchange-address-book","Exchange Server","Exchange Server | LDAP","migrated","verified"
"20","post","/2015/06/02/20/","ja","outlook-rest-api-basic-authentication","Outlook REST API","Outlook REST API | Exchange Online","migrated","verified"
"27","post","/2015/06/19/27/","ja","outlook-com-sunrise-calendar","Outlook.com","ActiveSync | Android | Outlook.com | Sunrise","migrated","verified"
"30","post","/2015/07/25/30/","ja","exchange-server-2016-preview","Exchange Server","Exchange Server","migrated","verified"
"39","post","/2015/08/15/39/","ja","send-email-with-smtpclient-powershell","PowerShell","PowerShell | SmtpClient","migrated","verified"
"43","post","/2015/08/30/43/","ja","set-calendar-permissions-from-get-mailbox","PowerShell","PowerShell | Exchange Online","migrated","verified"
"55","post","/2015/10/11/55/","ja","send-signed-email-dotnet-framework",".NET",".NET | SmtpClient","migrated","verified"
"67","post","/2015/11/14/67/","ja","export-hashtable-to-csv-powershell","PowerShell","PowerShell | Exchange Server","migrated","verified"
"73","post","/2015/12/29/73/","ja","ews-allowlist-and-blocklist-behavior","Exchange Web Services","Exchange Web Services | Exchange Server | Exchange Online","migrated","verified"
"111","post","/2015/10/03/111/","ja","exchange-server-2016-release","Exchange Server","Exchange Server","migrated","verified"
"121","post","/2016/01/22/121/","ja","add-alias-to-get-mailboxstatistics-output","PowerShell","PowerShell | Exchange Server | Exchange Online","migrated","verified"
"211","post","/2016/01/27/211/","ja","get-exchange-server-build-number","Exchange Server","Exchange Server | PowerShell","migrated","verified"
"291","post","/2016/02/04/291/","ja","get-mailboxes-on-specific-dag-server","Exchange Server","Exchange Server | PowerShell","included","metadata-reviewed"
"331","post","/2016/02/27/331/","ja","connect-to-exchange-online-ews-with-oauth","Exchange Web Services","Exchange Web Services | Exchange Online | OAuth","included","metadata-reviewed"
"1289","page","/contact/","ja","","","","excluded","metadata-reviewed"
"1579","page","/tutorials/","ja","tutorials","","","included","metadata-reviewed"
"1862","page","/contactform/","ja","contact","","","migrated","verified"
"591","post","/2016/04/03/591/","ja","office-365-api-web-app-introduction","Outlook REST API","Outlook REST API | Exchange Online | Office365APIEditor","included","metadata-reviewed"
"641","post","/2016/05/01/641/","ja","outlook-com-exchange-online-integration","Outlook.com","Outlook.com | Exchange Online | Outlook REST API","included","metadata-reviewed"
"671","post","/2016/05/25/671/","ja","change-message-class-with-ews","Exchange Web Services","Exchange Web Services | Exchange Server","included","metadata-reviewed"
"711","post","/2016/06/03/711/","ja","create-exchange-online-mailbox-with-microsoft-graph","Microsoft Graph","Microsoft Graph | Exchange Online | Microsoft 365","included","metadata-reviewed"
