"WordPress ID","Content type","Old URL","New URL","Language","Slug","Title","Published (JST)","Updated (JST)","Existing categories","Existing tags"
"18","page","/about/","/ja/about/","ja","about","About","2015-06-01 21:58:52","2020-10-21 11:54:29","",""
"6","post","/2015/05/30/6/","","unassigned","","EWS Java API を使ってみる","2015-05-30 13:49:46","2015-05-30 13:49:46","EWS","EWS | Exchange | Java"
"12","post","/2015/05/31/12/","","unassigned","","プログラムから Exchange サーバーのアドレス帳を参照するには","2015-05-31 20:50:22","2015-05-31 20:50:22","Exchange サーバー全般","EWS | Exchange | LDAP | PowerShell"
"20","post","/2015/06/02/20/","","unassigned","","Outlook REST API を基本認証で利用する","2015-06-02 22:33:52","2018-06-24 12:48:23","Exchange Online | Outlook REST API","Exchange Online | Outlook REST API"
"27","post","/2015/06/19/27/","","unassigned","","Outlook.com のカレンダーを Sunrise Calendar で表示する","2015-06-19 21:28:52","2015-06-19 21:28:52","Outlook.com","ActiveSync | Android | Outlook.com | Sunrise"
"30","post","/2015/07/25/30/","","unassigned","","Exchange Server 2016 Preview","2015-07-25 21:57:53","2015-07-25 21:57:53","Exchange 2016","""Exchange 2016"" | Exchange"
"39","post","/2015/08/15/39/","","unassigned","","SmtpClient を使って PowerShell でてきとうなメールを送信する","2015-08-15 13:41:34","2015-08-15 13:41:34","PowerShell","PowerShell | SmtpClient"
"43","post","/2015/08/30/43/","","unassigned","","Get-Mailbox コマンドの結果をパイプラインで受け取って予定表フォルダーのアクセス権を設定する","2015-08-30 13:16:34","2021-04-13 10:03:47","Exchange Online | Exchange サーバー全般 | PowerShell","Exchange | アクセス権 | 予定表"
"55","post","/2015/10/11/55/","","unassigned","",".NET Framework で電子署名付きのメールを送信する","2015-10-11 17:24:12","2015-10-11 17:24:12",".NET Framework",".NET Framework | SmtpClient"
"67","post","/2015/11/14/67/","","unassigned","","PowerShell でハッシュ テーブルを CSV にエクスポートする","2015-11-14 23:11:10","2015-11-14 23:11:10","Exchange サーバー全般 | PowerShell","PowerShell"
"73","post","/2015/12/29/73/","","unassigned","","EwsAllowList / EwsBlockList の挙動","2015-12-29 21:55:02","2015-12-29 21:55:02","EWS | Exchange Online | Exchange サーバー全般","EWS | Exchange | User-Agent"
"111","post","/2015/10/03/111/","","unassigned","","Exchange Serve 2016 リリース","2015-10-03 13:19:52","2015-10-03 13:19:52","Exchange 2016","""Exchange 2016"""
"121","post","/2016/01/22/121/","","unassigned","","Get-MailboxStatistics コマンドの出力にエイリアスを追加する","2016-01-22 23:30:17","2016-01-22 23:30:17","Exchange Online | Exchange サーバー全般 | PowerShell","Exchange | Exchange Online | PowerShell"
"211","post","/2016/01/27/211/","","unassigned","","Exchange サーバーのビルド番号を取得するスクリプト","2016-01-27 23:08:11","2016-01-27 23:08:11","Exchange サーバー全般 | PowerShell","Exchange | PowerShell"
"291","post","/2016/02/04/291/","","unassigned","","DAG 構成の特定のメールボックス サーバーでホストされているメールボックスを正確に取得する","2016-02-04 00:41:18","2016-02-04 00:41:18","Exchange サーバー全般 | PowerShell","Exchange | Get-Mailbox"
"331","post","/2016/02/27/331/","","unassigned","","Exchange Online の EWS に OAuth を使用して接続する","2016-02-27 20:20:59","2020-11-25 21:48:10","EWS | Exchange Online","ADAL | EWS | Exchange Online | OAuth"
"1289","page","/contact/","","unassigned","","Contact","2018-05-04 18:02:49","2018-05-04 18:02:49","",""
"1579","page","/tutorials/","","unassigned","","試し方シリーズ","2020-10-21 01:19:37","2021-01-13 21:59:39","",""
"1862","page","/contactform/","","unassigned","","お問い合わせ","2024-05-28 14:58:42","2024-05-28 14:58:43","",""
"591","post","/2016/04/03/591/","","unassigned","","Office 365 API 入門 - Web アプリケーション編","2016-04-03 20:08:10","2016-04-03 20:08:10","Office 365 | Outlook REST API","Exchange Online | Office 365 | Outlook REST API"
"641","post","/2016/05/01/641/","","unassigned","","Outlook.com と Exchange Online の統合","2016-05-01 05:06:17","2016-05-01 05:06:17","Exchange Online | Office 365 | Outlook.com","Exchange Online | Outlook.com"
"671","post","/2016/05/25/671/","","unassigned","","EWS でメッセージ クラスを変更する","2016-05-25 00:05:46","2016-05-25 00:05:46","EWS | Exchange サーバー全般","EWS | Exchange"
"711","post","/2016/06/03/711/","","unassigned","","Microsoft Graph で Exchange Online のメールボックスを作成する","2016-06-03 15:58:25","2020-03-31 20:32:21","Exchange Online | Microsoft Graph | Office 365","Microsoft Graph | Office 365"
"771","post","/2016/07/16/771/","","unassigned","","インプレース保持の反映時間","2016-07-16 21:22:32","2016-07-16 21:22:32","Exchange サーバー全般","Exchange"
"851","post","/2016/08/05/851/","","unassigned","","Outlook や OWA の予定表のショートカットを EWS で取得する","2016-08-05 21:22:56","2016-08-05 21:22:56","EWS | Exchange サーバー全般","EWS"
"901","post","/2016/09/04/901/","","unassigned","","Exchange サーバーのバージョン番号と製品名を相互変換する","2016-09-04 00:24:24","2016-09-04 00:24:24","Exchange サーバー全般 | PowerShell","Exchange | PowerShell"
