"WordPress ID","Old URL","New URL","Language","Content type","Migration status","Verification status"
"18","/about/","/ja/about/","ja","page","migrated","verified"
"18","/about/","/en/about/","en","page","migrated","verified"
"6","/2015/05/30/6/","/ja/ews-java-api/","ja","post","included","metadata-reviewed"
"12","/2015/05/31/12/","/ja/programmatically-query-exchange-address-book/","ja","post","included","metadata-reviewed"
"20","/2015/06/02/20/","/ja/outlook-rest-api-basic-authentication/","ja","post","included","metadata-reviewed"
"27","/2015/06/19/27/","/ja/outlook-com-sunrise-calendar/","ja","post","included","metadata-reviewed"
"30","/2015/07/25/30/","/ja/exchange-server-2016-preview/","ja","post","included","metadata-reviewed"
"39","/2015/08/15/39/","/ja/send-email-with-smtpclient-powershell/","ja","post","included","metadata-reviewed"
"43","/2015/08/30/43/","/ja/set-calendar-permissions-from-get-mailbox/","ja","post","included","metadata-reviewed"
"55","/2015/10/11/55/","/ja/send-signed-email-dotnet-framework/","ja","post","included","metadata-reviewed"
"67","/2015/11/14/67/","/ja/export-hashtable-to-csv-powershell/","ja","post","included","metadata-reviewed"
"73","/2015/12/29/73/","/ja/ews-allowlist-and-blocklist-behavior/","ja","post","included","metadata-reviewed"
"111","/2015/10/03/111/","/ja/exchange-server-2016-release/","ja","post","included","metadata-reviewed"
"121","/2016/01/22/121/","/ja/add-alias-to-get-mailboxstatistics-output/","ja","post","included","metadata-reviewed"
"211","/2016/01/27/211/","/ja/get-exchange-server-build-number/","ja","post","included","metadata-reviewed"
"291","/2016/02/04/291/","/ja/get-mailboxes-on-specific-dag-server/","ja","post","included","metadata-reviewed"
"331","/2016/02/27/331/","/ja/connect-to-exchange-online-ews-with-oauth/","ja","post","included","metadata-reviewed"
"1289","/contact/","","ja","page","excluded","metadata-reviewed"
"1579","/tutorials/","/ja/tutorials/","ja","page","included","metadata-reviewed"
"1862","/contactform/","/ja/contact/","ja","page","included","metadata-reviewed"
"591","/2016/04/03/591/","/ja/office-365-api-web-app-introduction/","ja","post","included","metadata-reviewed"
"641","/2016/05/01/641/","/ja/outlook-com-exchange-online-integration/","ja","post","included","metadata-reviewed"
"671","/2016/05/25/671/","/ja/change-message-class-with-ews/","ja","post","included","metadata-reviewed"
"711","/2016/06/03/711/","/ja/create-exchange-online-mailbox-with-microsoft-graph/","ja","post","included","metadata-reviewed"
"771","/2016/07/16/771/","/ja/in-place-hold-application-time/","ja","post","included","metadata-reviewed"
"851","/2016/08/05/851/","/ja/get-outlook-calendar-shortcuts-with-ews/","ja","post","included","metadata-reviewed"
"901","/2016/09/04/901/","/ja/convert-exchange-server-version-and-product-name/","ja","post","included","metadata-reviewed"
"961","/2016/11/27/961/","/ja/customize-powershell-prompt/","ja","post","included","metadata-reviewed"
"1011","/2017/01/20/1011/","/ja/getroomlists-getrooms-limitations/","ja","post","included","metadata-reviewed"
"1091","/2017/04/01/1091/","/ja/exchange-management-shell-remote-powershell-data-types/","ja","post","included","metadata-reviewed"
"1181","/2017/06/15/1181/","/ja/exchange-online-powershell-mfa-under-the-hood/","ja","post","included","metadata-reviewed"
"1282","/2018/04/30/1282/","/ja/remote-powershell-default-command-output/","ja","post","included","metadata-reviewed"
"1296","/2018/05/05/1296/","/ja/check-delegate-private-calendar-permissions-powershell/","ja","post","included","metadata-reviewed"
"1306","/2018/05/10/1306/","/ja/inspect-export-transportrulecollection/","ja","post","included","metadata-reviewed"
"1309","/2018/05/14/1309/","/ja/sort-format-list-output-by-property-name/","ja","post","included","metadata-reviewed"
"1340","/2018/06/24/1340/","/ja/office-365-messaging-apis/","ja","post","included","metadata-reviewed"
"1350","/2018/12/23/1350/","/ja/get-warning-output-in-exchange-online-powershell/","ja","post","included","metadata-reviewed"
"1360","/2019/03/22/1360/","/ja/debug-outlook-web-add-in-with-visual-studio/","ja","post","included","metadata-reviewed"
"1365","/2019/05/28/1365/","/ja/localize-messagetracedetail-reporting-web-service/","ja","post","included","metadata-reviewed"
"1369","/2019/07/16/1369/","/ja/getting-started-with-microsoft-graph/","ja","post","included","metadata-reviewed"
"1372","/2019/07/16/1372/","/ja/getting-started-with-outlook-rest-api/","ja","post","included","metadata-reviewed"
"1378","/2019/07/17/1378/","/ja/getting-started-with-exchange-web-services/","ja","post","included","metadata-reviewed"
"1380","/2019/07/19/1380/","/ja/getting-started-with-office-365-reporting-web-service/","ja","post","included","metadata-reviewed"
"1383","/2019/07/19/1383/","/ja/getting-started-with-office-365-management-activity-api/","ja","post","included","metadata-reviewed"
"1394","/2019/07/28/1394/","/ja/retrieve-all-office-365-audit-logs/","ja","post","included","metadata-reviewed"
"1405","/2019/08/15/1405/","/ja/get-all-exchange-online-mailboxes/","ja","post","included","metadata-reviewed"
"1418","/2019/08/25/1418/","/ja/microsoft-graph-get-schedule/","ja","post","included","metadata-reviewed"
"1423","/2019/11/13/1423/","/ja/get-mapi-properties-with-microsoft-graph/","ja","post","included","metadata-reviewed"
"1430","/2019/11/14/1430/","/ja/introducing-robustcloudcommand-module/","ja","post","included","metadata-reviewed"
"1448","/2019/12/22/1448/","/ja/getting-started-with-microsoft-graph-toolkit/","ja","post","included","metadata-reviewed"
"1473","/2019/12/31/1473/","/ja/get-ews-access-token-with-msal-and-powershell/","ja","post","included","metadata-reviewed"
"1490","/2020/02/03/1490/","/ja/microsoft-graph-powershell-sdk-preview/","ja","post","included","metadata-reviewed"
"1509","/2020/05/06/1509/","/ja/connect-to-exchange-online-imap-with-oauth/","ja","post","included","metadata-reviewed"
"1514","/2020/05/06/1514/","/ja/connect-to-exchange-online-smtp-with-oauth/","ja","post","included","metadata-reviewed"
"1519","/2020/05/29/1519/","/ja/connect-to-exchange-online-pop-with-oauth/","ja","post","included","metadata-reviewed"
"1524","/2020/07/28/1524/","/ja/propose-alternative-meeting-time-with-microsoft-graph/","ja","post","included","metadata-reviewed"
"1551","/2020/09/27/1551/","/ja/non-interactive-exchange-online-powershell-connection/","ja","post","included","metadata-reviewed"
"1559","/2020/10/05/1559/","/ja/microsoft-graph-event-transaction-id/","ja","post","included","metadata-reviewed"
"1570","/2020/10/21/1570/","/ja/getting-started-with-microsoft-graph-powershell-sdk/","ja","post","included","metadata-reviewed"
"1600","/2020/11/25/1600/","/ja/exchange-legacy-api-missing-in-azure-app-registration/","ja","post","included","metadata-reviewed"
"1610","/2021/01/13/1610/","/ja/getting-started-with-microsoft-graph-reports-api/","ja","post","included","metadata-reviewed"
"1619","/2021/01/13/1619/","/ja/use-microsoft-graph-reports-api-with-power-automate/","ja","post","included","metadata-reviewed"
"1635","/2021/01/19/1635/","/ja/exchange-online-remote-powershell-v2-dotnet-framework/","ja","post","included","metadata-reviewed"
"1657","/2021/05/11/1657/","/ja/convert-pr-entryid-to-microsoft-graph-rest-id/","ja","post","included","metadata-reviewed"
"1663","/2021/06/12/1663/","/ja/exchange-online-remote-powershell-v2-dotnet-core-3-1/","ja","post","included","metadata-reviewed"
"1666","/2021/06/12/1666/","/ja/exchange-online-remote-powershell-v2-dotnet-5/","ja","post","included","metadata-reviewed"
"1682","/2021/08/30/1682/","/ja/manage-microsoft-365-licenses-graph-powershell-sdk/","ja","post","included","metadata-reviewed"
"1697","/2021/09/29/1697/","/ja/get-exchange-online-calendar-with-graph-powershell-sdk/","ja","post","included","metadata-reviewed"
"1721","/2022/02/22/1721/","/ja/use-specific-microsoft-graph-powershell-sdk-modules/","ja","post","included","metadata-reviewed"
"1738","/2022/05/07/1738/","/ja/send-email-mentions-with-microsoft-graph/","ja","post","included","metadata-reviewed"
"1751","/2022/05/14/1751/","/ja/send-exchange-online-email-with-graph-powershell-sdk/","ja","post","included","metadata-reviewed"
"1780","/2023/07/14/1780/","/ja/connect-to-exchange-online-smtp-with-client-credentials/","ja","post","included","metadata-reviewed"
"1790","/2023/07/14/1790/","/ja/connect-to-exchange-online-pop-with-client-credentials/","ja","post","included","metadata-reviewed"
"1801","/2023/07/14/1801/","/ja/connect-to-exchange-online-imap-with-client-credentials/","ja","post","included","metadata-reviewed"
"1819","/2023/08/03/1819/","/ja/control-application-mailbox-access-with-rbac/","ja","post","included","metadata-reviewed"
"1839","/2023/11/16/1839/","/ja/find-ews-applications-in-tenant/","ja","post","included","metadata-reviewed"
"1854","/2024/03/15/1854/","/ja/create-draft-meeting-with-microsoft-graph/","ja","post","migrated","verified"
"1867","/2024/08/29/1867/","/ja/microsoft-graph-email-attachments/","ja","post","migrated","verified"
"1854","/2024/03/15/1854/","/en/create-draft-meeting-with-microsoft-graph/","en","post","migrated","verified"
"1867","/2024/08/29/1867/","/en/microsoft-graph-email-attachments/","en","post","migrated","verified"
"1872","/2024/10/07/1872/","/ja/prevent-user-profile-photo-changes-in-microsoft-365/","ja","post","included","metadata-reviewed"
"1878","/2024/12/02/1878/","/ja/connect-exchange-server-2019-management-tools-snapin/","ja","post","included","metadata-reviewed"
